Term,Merriam Webster,Oxford Dictionary,Brave New Words
actifan,X,X,1944
aerocar,X,early 20th century; earliest use found in Flight International,1900
AI,X,early 17th century: from Tupi,1973
air-car,X,early 19th century; earliest use found in The Mechanics' Magazine,1829
alien,14th century,Middle English: via Old French from Latin alienus ‘belonging to another’,1820
alternate future,X,X,1941
alternate history,X,X,1954
alternate reality,X,X,1950
alternate universe,X,X,1950
alternate world,X,X,1944
alternative future,X,X,1939
alternative history,X,X,1977
alternative reality,X,X,1941
alternative universe,X,X,1944
alternative world,X,X,1943
android,circa 1736,early 18th century: from modern Latin androides,1727
Anglic,X,1930s. From angl- (in Anglo-) + -ic,1957
annish,X,X,1950
ansible,X,1960s; earliest use found in Ursula Le Guin (b. 1929),1966
anti-agathic,X,X,1954
antigrav,X,X,1941
anti-gravitational,X,X,1900
anti-gravity,1944,X,1896
antispinward,X,X,1970
anywhen,X,mid 19th century; earliest use found in Thomas Carlyle (1795–1881),1941
APA,X,X,1944
apazine,X,X,1944
artificial gravity,X,1930s,1930
artificial intelligence,X,X,1973
astrogate,X,1940s. From astro- + -gate,1941
astrogation,X,1930s: blend of astro- and navigation,1931
astrogational,X,X,1941
astrogator,X,X,1935
astronavigation,X,1930s: from astro- + navigation,1935
astronavigator,X,X,1941
atomics,X,early 19th century. From atomic: see -ic,1932
avian,1861,late 19th century: from Latin avis ‘bird’ + -an,1930
bacover,X,X,1951
BDO,X,X,1993
beam,before 12th century,Old English bēam ‘tree,1951
beam-me-up (Scotty),X,X,1988
beanstalk,X,X,1979
belter,1953,X,1966
BEM,X,X,1939
bheer,X,X,1959
Big Brother,X,X,1949
big dumb object,X,X,1981
biopunk,X,X,1992
blaster,1575,X,1925
blast off,X,X,1937
blowup,1757,X,1945
BNF,X,1960s; earliest use found in Proceedings of the AFIPS Conference,1950
boat,before 12th century,Old English bāt,1928
body-waldo,X,X,1963
bot,15th century,1960s: shortening of robot,1969
braintape,X,X,1979
brave new world,X,X,1933
Buck Rogers,X,X,1946
bug-eyed monster,X,X,1939
chrononaut,X,X,1963
chronoscope,X,X,1938
Clarke orbit,X,X,1945
Clarke's First Law,X,X,1962
Clarke's Second Law,X,X,1962
Clarke's Third Law,X,X,1968
cloaking device,X,X,1968
clubzine,X,X,1969
COA,1951,X,1961
cognitive estrangement,X,X,1972
cold sleep,X,X,1956
cold sleeper,X,X,1992
collapsium,X,X,1963
comlink,X,X,1976
completism,X,X,1944
completist,1951,X,1944
comset,X,X,1966
con,1901,late 19th century (originally US): abbreviation of confidence,1942
congoer,X,X,1960
conreport,X,X,1953
continuum,1646,mid 17th century: from Latin,1946
contraterrene,X,X,1941
corflu,X,X,1960
corpsesicle,X,X,1966
cosy catastrophe,X,X,1973
counter-gravity,X,X,1951
craft,before 12th century,Old English cræft ‘strength,1934
credit,1529,mid 16th century (originally in the senses ‘belief’,1934
croggle,X,X,1959
crudzine,X,X,1975
cruiser,1695,late 17th century: from Dutch kruiser,1912
cryostasis,X,1990s. From cryo- + stasis,1975
cyberpunk,1983,X,1983
cyberpunkish,X,X,1989
cyberspace,1982,X,1982
cyborg,1960,1960s: blend of cyber- and organism,1976
cyborged,X,X,1976
cyborging,X,X,1978
cyborgisation,X,X,1994
cyborgised,X,X,1989
dalek,X,1960s: invented by the scriptwriter Terry Nation ( 1930–97),1963
dark side,X,X,1939
dayside,1827,X,1914
death ray,X,X,1915
deep space,X,X,1934
deflector,circa 1555,X,1945
different story,X,X,1928
dimension,14th century,late Middle English (in dimension (sense 1 of the noun)): via Old French from Latin dimensio(n-),1896
dimensional,14th century,X,1928
dirtside,X,X,1953
dirtsider,X,X,1992
disaster novel,X,X,1959
disintegrator,1796,X,1925
disruptor,1793,X,1931
doomwatch,X,X,1970
doomwatcher,X,X,1971
doubleplusungood,X,X,1949
doublethink,1949,1949: coined by George Orwell in his novel Nineteen Eighty-Four,1949
downtime,1928,X,1973
droid,1952,1970s: shortening of android,1976
dropshaft,X,X,1952
Dyson sphere,X,X,1960
dystopia,circa 1950,late 18th century: from dys- ‘bad’ + utopia,1868
dystopian,1962,X,1953
dystopic,1962,X,1967
Earthborn,1621,X,1900
Earther,1926,X,1952
Earthfall,X,X,1957
Earthfolk,X,X,1914
Earthgirl,X,X,1924
Earthian,X,X,1934
Earthie,X,X,1947
Earthlike,before 12th century,late 16th century; earliest use found in Huloets Dictionary. From earth + -like,1928
Earthling,1593,X,1939
Earthman,X,Middle English (in an earlier sense). In some forms from earth + man. In some forms from the genitive of earth + man,1913
Earthnorm,X,X,1951
Earth-normal,X,X,1942
Earthperson,X,X,1930
Earthside,X,mid 19th century; earliest use found in Elizabeth Barrett Browning (1806–1861),1948
Earthsider,X,X,1993
Earth-type,X,X,1941
Earthwoman,X,mid 19th century (in an earlier sense). From earth + woman,1934
ecotopia,X,X,1975
edisonade,X,X,1993
eetee,X,X,1956
egoboo,X,X,1947
egoscan,X,X,1975
elsewhen,X,X,1982
empath,1956,X,1956
empathic,1909,X,1959
empathy,1909,early 20th century: from Greek empatheia (from em- ‘in’ + pathos ‘feeling’) translating German Einfühlung,1955
energy screen,X,X,1944
energy weapon,X,X,1941
escape pod,X,X,1976
esp,X,X,1949
esper,X,X,1950
ET,X,X,1944
everywhen,X,X,1955
exoskeleton,1847,X,1968
expository lump,X,X,1981
extra-dimensional,X,X,1934
extra-planetary,X,X,1931
extraterrestrial,1848,X,1941
eyetracks,X,X,1952
faan,X,X,1961
faanish,X,X,1969
fafia,X,X,1975
fafiate,X,X,1989
fakefan,X,X,1939
fanac,X,X,1950
faned,X,X,1945
fanfic,1944,1970s ː abbreviation,1976
fan fiction,X,X,1939
fanmag,X,X,1937
fanne,X,X,1944
fanning,before 12th century,X,1948
fannish,X,X,1944
fannishness,X,X,1959
fanspeak,X,X,1952
fantascience,X,X,1934
fantastic,14th century,late Middle English (in the sense ‘unreal’): from Old French fantastique,1931
fantasy,14th century,late Middle English: from Old French fantasie,1932
fanzine,1942,1940s (originally US): blend of fan and magazine,1940
farside,15th century,X,1961
faster-than-light,X,X,1947
faster than light,X,X,1912
feelie,X,1930s; earliest use found in Aldous Huxley (1894–1963),1931
Feghoot,X,X,1956
femfan,X,X,1944
fen,before 12th century,Old English fen(n),1944
FIAWOL,X,X,1952
FIJAGH,X,X,1959
filk,X,1950s. Probably originally a transmission error for folk,1978
filker,X,1980s; earliest use found in Associated Press Newswire. From filk + -er,1982
filking,X,1980s; earliest use found in The San Francisco Chronicle. From filk + -ing,1981
filksing,X,X,1972
fillo,X,X,1959
first contact,X,X,1935
fix-up,1764,X,1975
flame pistol,X,X,1932
flash crowd,X,X,1973
flitter,15th century,late Middle English: frequentative of flit,1941
floater,1717,X,1935
fmz,X,X,1941
food pill,X,X,1915
force field,X,X,1931
Frankenstein complex,X,X,1947
free fall,X,X,1931
frell,X,X,2001
frelling,X,X,1999
fresher,13th century,X,1940
fringefan,X,X,1969
FTL,X,1960s; earliest use found in Frederik Pohl (1919–2013),1958
fugghead,X,X,1950
fuggheadedness,X,X,1949
future history,X,X,1941
future war,X,X,1931
gadget,1886,late 19th century (originally in nautical use): probably from French gâchette ‘lock mechanism’ or from the French dialect word gagée ‘tool’,1942
gafia,X,X,1944
gafiate,X,X,1959
gafiation,X,X,1959
galactic,1839,mid 19th century: from Greek galaktias (variant of galaxias ‘galaxy’) + -ic,1942
galactography,X,X,1950
galaxy-wide,X,X,1940
gas giant,X,X,1952
gate,before 12th century,Old English gæt,1931
gateway,1707,X,1933
gee,1628,mid 19th century: perhaps an abbreviation of Jesus,1949
generation,14th century,Middle English: via Old French from Latin generatio(n-),1977
generation ship,X,1950s; earliest use found in New Worlds Science Fiction,1957
genetic engineer,X,1950s; earliest use found in Astounding Science Fiction. From genetic + engineer,1954
genetic engineering,X,X,1951
genre,1770,early 19th century: French,1974
genre science fiction,X,X,1979
genzine,X,X,1966
ghod,X,X,1952
glassite,X,X,1934
GOH,X,X,1967
golden age,X,"mid 16th century: the Greek and Roman poets' name for the first period of history, when the human race lived in an ideal state",1948
go nova,X,X,1942
goshwow,X,X,1939
go supernova,X,X,1942
graser,X,X,1974
grav,X,X,1940
gravitic,X,X,1939
gravitics,X,X,1944
gravity drive,X,X,1950
gravity-free,X,X,1931
gravityless,X,X,1939
gravity plate,X,X,1933
gravity screen,X,X,1928
gravity well,X,X,1963
gravs,X,X,1940
grok,1961,1960s: a word invented by Robert Heinlein (1907–88),1961
groundcar,X,X,1937
groundhog,1741,X,1942
groundside,X,X,1961
group mind,X,late 19th century,1930
-h-,before 12th century,X,1940
hard-core science,X,X,1971
hard science fiction,X,X,1957
heat ray,X,X,1898
helicab,X,X,1950
helicar,X,X,1948
hive mind,X,X,1950
holo,X,X,1970
holo-,X,X,1968
holocam,X,X,1968
holocamera,X,X,1980
holodeck,X,1980s: probably a blend of hologram and deck,1987
hologram,1949,X,1974
holoscreen,X,X,1979
holotank,X,X,1979
holovision,X,X,1968
home galaxy,X,X,1951
home planet,X,X,1930
home star,X,X,1939
home system,X,X,1947
homeworld,X,X,1900
Homo superior,X,X,1935
horror,14th century,Middle English: via Old French from Latin horror,1869
Hugo,X,X,1950
humanoid,1918,X,1940
hyperdrive,1973,1950s: from hyper- + drive,1949
hyperspace,1867,X,1928
hyperspatial,X,X,1934
hyperspeed,X,X,1956
hypnopaedia,X,X,1932
illo,X,X,1945
imaginative fiction,X,X,1914
impervium,X,1930s. From imperv- + -ium,1943
impossible story,X,X,1929
infodump,X,X,1990
inner space,X,X,1953
insectoid,X,X,1937
in-system,X,X,1974
inter-dimensional,X,X,1932
interplanetary,1691,X,1927
intersystem,1889,X,1949
interworld,X,X,1942
